order_id,order_date,customer_id,product_id,product_name,category,price,quantity,revenue,payment_method,country
O00001,2024-04-16,C0103,P004,Wireless Headphones,Electronics,7200,4,28800,Mpesa,Kenya
O00002,2024-03-28,C0122,P003,Running Shoes,Footwear,4200,1,4200,Card,Kenya
O00003,2024-12-09,C0131,P006,Office Chair,Furniture,6300,1,6300,Cash,Kenya
O00004,2024-11-09,C0192,P005,Smartphone Case,Electronics,800,2,1600,Mpesa,Kenya
O00005,2024-07-06,C0049,P010,Kids Toy Set,Toys,1200,1,1200,Card,Kenya
O00006,2024-08-31,C0175,P003,Running Shoes,Footwear,4200,1,4200,Mpesa,Kenya
O00007,2024-06-15,C0051,P007,Espresso Machine,Home Appliances,15000,1,15000,Card,Tanzania
O00008,2024-12-11,C0014,P002,Elegant Dress,Clothing,3500,1,3500,Card,Kenya
O00009,2024-09-20,C0111,P007,Espresso Machine,Home Appliances,15000,2,30000,Card,Tanzania
O00010,2024-01-02,C0164,P002,Elegant Dress,Clothing,3500,2,7000,Mpesa,Kenya
O00011,2024-08-05,C0004,P006,Office Chair,Furniture,6300,1,6300,Mpesa,Kenya
O00012,2024-09-08,C0014,P008,Scented Candle,Home Decor,600,1,600,Card,Kenya
O00013,2024-08-04,C0082,P005,Smartphone Case,Electronics,800,1,800,Card,Kenya
O00014,2024-01-09,C0041,P001,Classic Leather Bag,Accessories,2500,1,2500,Mpesa,Kenya
O00015,2024-06-11,C0063,P003,Running Shoes,Footwear,4200,2,8400,Mpesa,Kenya
O00016,2024-09-24,C0041,P007,Espresso Machine,Home Appliances,15000,3,45000,Card,Kenya
O00017,2024-06-20,C0151,P008,Scented Candle,Home Decor,600,2,1200,Mpesa,Tanzania
O00018,2024-05-10,C0193,P003,Running Shoes,Footwear,4200,1,4200,Mpesa,Kenya
O00019,2024-07-25,C0142,P007,Espresso Machine,Home Appliances,15000,1,15000,Mpesa,Kenya
O00020,2024-04-05,C0179,P007,Espresso Machine,Home Appliances,15000,1,15000,Mpesa,Kenya
O00021,2024-11-22,C0143,P004,Wireless Headphones,Electronics,7200,3,21600,Card,Kenya
O00022,2024-05-13,C0066,P010,Kids Toy Set,Toys,1200,3,3600,Mpesa,Kenya
O00023,2024-08-18,C0084,P010,Kids Toy Set,Toys,1200,1,1200,Paypal,Kenya
O00024,2024-08-20,C0027,P009,Gold Necklace,Jewellery,12000,3,36000,Card,Kenya
O00025,2024-08-12,C0155,P009,Gold Necklace,Jewellery,12000,1,12000,Card,Kenya
O00026,2024-08-20,C0059,P006,Office Chair,Furniture,6300,1,6300,Mpesa,Kenya
O00027,2024-10-21,C0186,P004,Wireless Headphones,Electronics,7200,1,7200,Mpesa,Kenya
O00028,2024-04-22,C0113,P008,Scented Candle,Home Decor,600,1,600,Paypal,Kenya
O00029,2024-05-05,C0087,P005,Smartphone Case,Electronics,800,1,800,Card,Kenya
O00030,2024-11-19,C0160,P006,Office Chair,Furniture,6300,1,6300,Card,Kenya
O00031,2024-04-07,C0145,P006,Office Chair,Furniture,6300,1,6300,Mpesa,Kenya
O00032,2024-07-05,C0144,P001,Classic Leather Bag,Accessories,2500,1,2500,Card,Kenya
O00033,2024-05-26,C0148,P004,Wireless Headphones,Electronics,7200,1,7200,Card,Kenya
